0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.884379841779387034e-04,2.064219997106290019e-02,2.807913788167184371e-02
2.000000000000000000e+00,4.384244600924014357e-02,1.751127448282122356e-01,2.093858782469346647e-01
3.000000000000000000e+00,2.821955509766932782e-03,2.422994046301154766e-02,5.312208118821148961e-02
4.000000000000000000e+00,2.235431410979344270e-03,1.923619368548815795e-02,4.728034909959257653e-02
5.000000000000000000e+00,7.794785175757847550e-04,1.490883001012824859e-02,2.791914249356138022e-02
6.000000000000000000e+00,7.245473667702258171e-04,1.140808219216608334e-02,2.691741753531021533e-02
7.000000000000000000e+00,5.988971949025804391e-04,1.386787039070356241e-02,2.447237615971486341e-02
8.000000000000000000e+00,3.140494692481781845e-04,9.004911646378517542e-03,1.772144094728693789e-02
9.000000000000000000e+00,1.967128170457469870e-04,6.559736641571690778e-03,1.402543464730227063e-02
1.000000000000000000e+01,9.250940173628137181e-05,3.697641971643674148e-03,9.618180791411719624e-03
1.100000000000000000e+01,9.344863254215216497e-05,3.128622155321959461e-03,9.666883289982979716e-03
1.200000000000000000e+01,6.071452257471551697e-05,3.109849817653081126e-03,7.791952423796972768e-03
1.300000000000000000e+01,5.724937214995013882e-05,2.894166655747654193e-03,7.566331485597901224e-03
1.400000000000000000e+01,4.159455133155471213e-05,1.803856219345775650e-03,6.449383794716725959e-03
1.500000000000000000e+01,2.185158507099304489e-05,1.788095724012679633e-03,4.674567902062504686e-03
1.600000000000000000e+01,2.839069533270651731e-05,1.872807405296597269e-03,5.328291971420721397e-03
1.700000000000000000e+01,1.636702287917352554e-05,1.025275463858363583e-03,4.045617737648173062e-03
1.800000000000000000e+01,1.052032175665153904e-05,9.288669375477993581e-04,3.243504548578826814e-03
1.900000000000000000e+01,1.180249443631448196e-05,9.539631735038999957e-04,3.435475867520318069e-03
2.000000000000000000e+01,1.056832535517099294e-05,9.198811351887410583e-04,3.250896084954268961e-03
