"File","Mean_Angle"
"QSY_A_1098",128.338268573552
"QSY_A_1246",123.935866410832
"QSY_A_1777",122.208326974908
"QSY_A_1941",109.423121144577
"QSY_A_2048",118.574342209842
"QSY_A_2213",114.985384065673
"QSY_A_2600",124.385213771381
"QSY_A_2717",122.42592768389
"QSY_A_2723",134.925713829114
"QSY_A_2797",135.403377515577
"QSY_B_003",120.9312663379
"QSY_B_072",115.48421710219
"QSY_B_189",117.941265283842
