filename,SHE
QSY-A-1517,1.0753447053794745
QSY-B-320,1.0527469732048724
QSY-B-072,1.020417570982092
QSY-A-1098,1.0128569569047017
Box,1.02921922137376
QSY-A-1941,1.0114625047224342
QSY-A-0682,1.0103900687200844
Discoid,1.056231070830611
QSY-A-2049,1.0311758277031704
QSY-A-2213,1.010786519098957
QSY-A-1307,1.0367929940665968
QSY-A-0700,1.0171219342175633
QSY-A-0680,1.0390231881816483
QSY-A-2797,1.0043824600294586
QSY-A-0579,1.05439890058429
QSY-A-0699,1.0248097727054564
QSY-A-0702,1.0424149452095552
QSY-A-2600,1.0104906072626396
Rounded_cube,1.0141345813077238
QSY-B-168,1.0236440593158036
QSY-A-2611,1.040001934206802
QSY-A-2723,1.009119755315505
QSY-A-1333,1.03125138078693
QSY-B-186,1.0265247343084978
QSY-A-1304,1.0125298048507112
QSY-A-0570,1.0795712033249758
Ellipsoid,1.0109241366418957
QSY-A-2048,1.0300395956189354
QSY-B-189,1.0161412466818363
QSY-A-2381,1.0276970050022622
QSY-A-1246,1.0108586624567835
QSY-A-2599,1.016534052089737
QSY-A-0256,1.020295500900787
Sphere,1.0000000100864233
QSY-A-2717,1.01138581729974
QSY-A-0576,1.0495757914857373
QSY-B-159,1.024486450549684
QSY-B-435,1.0204196716613865
QSY-A-1111,1.0227407691483683
QSY-A-1777,1.0112305546516551
QSY-B-140,1.0242801421349634
QSY-B-003,1.0147381894682128
QSY-A-0938,1.0271441801932557
QSY-A-1584,1.0189490023246714
QSY-A-0735,1.0199318073062105
QSY-A-0562,1.042784409016546
QSY-B-136,1.0188914423940556
